,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,JOBS_1000_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,JOBS_1000_ME,TOT_EMP_ME
53,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,3500.0,4.8,20.293,71440.0,2.1,69440.0,2012,1500.24,1880.250792,0.9740639999999999,168.0,2940.4704,3685.29155232,1.9091654399999998,329.28
477,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,590.0,5.6,16.551,70270.0,2.3,70290.0,2012,1616.21,2025.595993,0.9268559999999998,33.04,3167.7716,3970.1681462799997,1.8166377599999997,64.7584
694,AL,11500,"Anniston-Oxford, AL",15-0000,Computer and Mathematical Occupations,430.0,12.7,9.817,66290.0,6.9,57980.0,2012,4574.01,5732.6067330000005,1.246759,54.61,8965.0596,11235.90919668,2.44364764,107.0356
913,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and Mathematical Occupations,670.0,4.0,13.89,52310.0,7.0,52930.0,2012,3661.7,4589.208610000001,0.5556,26.8,7176.932,8994.8488756,1.088976,52.528
1161,AL,13820,"Birmingham-Hoover, AL",15-0000,Computer and Mathematical Occupations,11430.0,4.6,23.528,71580.0,1.5,69640.0,2012,1073.7,1345.66821,1.082288,525.78,2104.452,2637.5096916,2.12128448,1030.5287999999998
1706,AL,19460,"Decatur, AL",15-0000,Computer and Mathematical Occupations,390.0,19.3,7.465,67020.0,4.0,63620.0,2012,2680.8,3359.8466400000007,1.440745,75.27,5254.368,6585.299414400001,2.8238602,147.5292
1963,AL,20020,"Dothan, AL",15-0000,Computer and Mathematical Occupations,360.0,10.2,6.48,57260.0,2.9,54910.0,2012,1660.54,2081.154782,0.66096,36.72,3254.6584,4079.06337272,1.2954816,71.9712
2219,AL,22520,"Florence-Muscle Shoals, AL",15-0000,Computer and Mathematical Occupations,320.0,21.7,6.063,60280.0,2.8,56460.0,2012,1687.84,2115.369872,1.3156709999999998,69.44,3308.1663999999996,4146.124949120001,2.57871516,136.1024
2457,AL,23460,"Gadsden, AL",15-0000,Computer and Mathematical Occupations,80.0,30.8,2.456,47670.0,5.4,49010.0,2012,2574.1800000000003,3226.2197940000005,0.756448,24.64,5045.3928000000005,6323.390796240001,1.48263808,48.2944
2670,AL,26620,"Huntsville, AL",15-0000,Computer and Mathematical Occupations,13380.0,5.3,65.772,82730.0,1.5,82180.0,2012,1240.95,1555.282635,3.4859160000000005,709.14,2432.262,3048.3539646,6.8323953600000005,1389.9144
3098,AL,33660,"Mobile, AL",15-0000,Computer and Mathematical Occupations,3080.0,6.2,18.315,52670.0,3.3,47670.0,2012,1738.11,2178.373263,1.1355300000000002,190.96,3406.6955999999996,4269.61159548,2.2256388000000005,374.2816
3536,AL,33860,"Montgomery, AL",15-0000,Computer and Mathematical Occupations,4310.0,3.6,27.293,67810.0,2.6,66100.0,2012,1763.06,2209.643098,0.982548,155.16,3455.5976,4330.90047208,1.92579408,304.11359999999996
