,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,JOBS_1000_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,JOBS_1000_ME,TOT_EMP_ME
51,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,3320.0,4.3,20.126,69050.0,1.6,68210.0,2010,1104.8,1384.6458400000001,0.8654179999999999,142.76,2165.408,2713.9058464000004,1.6962192799999998,279.8096
446,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,530.0,4.5,15.25,67730.0,3.8,65680.0,2010,2573.74,3225.6683420000004,0.68625,23.85,5044.5304,6322.309950320001,1.34505,46.746
651,AL,11500,"Anniston-Oxford, AL",15-0000,Computer and Mathematical Occupations,330.0,12.1,7.349,61700.0,5.3,59850.0,2010,3270.1,4098.41633,0.8892289999999999,39.93,6409.396,8032.8960068,1.7428888399999998,78.2628
881,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and Mathematical Occupations,520.0,4.4,11.131,56220.0,5.7,57630.0,2010,3204.54,4016.2499820000003,0.48976400000000003,22.88,6280.8984,7871.849964720001,0.95993744,44.8448
1133,AL,13820,"Birmingham-Hoover, AL",15-0000,Computer and Mathematical Occupations,10430.0,3.1,21.955,69220.0,1.9,66420.0,2010,1315.18,1648.315094,0.6806049999999999,323.33,2577.7528,3230.69758424,1.3339857999999998,633.7267999999999
1670,AL,19460,"Decatur, AL",15-0000,Computer and Mathematical Occupations,250.0,8.8,4.896,60160.0,3.9,57160.0,2010,2346.24,2940.5425920000002,0.430848,22.0,4598.630399999999,5763.463480320001,0.84446208,43.12
1925,AL,20020,"Dothan, AL",15-0000,Computer and Mathematical Occupations,330.0,10.8,6.011,52600.0,3.8,49740.0,2010,1998.8,2505.0960400000004,0.6491880000000001,35.64000000000001,3917.6479999999997,4909.9882384,1.2724084800000002,69.85440000000001
2164,AL,22520,"Florence-Muscle Shoals, AL",15-0000,Computer and Mathematical Occupations,280.0,10.0,5.549,54370.0,3.4,50950.0,2010,1848.58,2316.825314,0.5549000000000001,28.0,3623.2167999999997,4540.977615440001,1.087604,54.879999999999995
2404,AL,23460,"Gadsden, AL",15-0000,Computer and Mathematical Occupations,90.0,12.8,2.786,50370.0,4.2,50430.0,2010,2115.54,2651.4062820000004,0.35660800000000004,11.52,4146.4583999999995,5196.756312720001,0.6989516800000001,22.5792
2621,AL,26620,"Huntsville, AL",15-0000,Computer and Mathematical Occupations,13740.0,4.6,67.902,78540.0,1.3,77440.0,2010,1021.02,1279.6443660000002,3.123492,632.04,2001.1992,2508.1029573600003,6.1220443200000005,1238.7984
3046,AL,33660,"Mobile, AL",15-0000,Computer and Mathematical Occupations,2490.0,9.1,14.843,58710.0,2.7,53290.0,2010,1585.17,1986.693561,1.350713,226.59,3106.9332,3893.91937956,2.64739748,444.1164
3482,AL,33860,"Montgomery, AL",15-0000,Computer and Mathematical Occupations,3820.0,4.6,24.179,66610.0,2.6,67190.0,2010,1731.86,2170.5401380000003,1.112234,175.72,3394.4455999999996,4254.258670480001,2.17997864,344.4112
3894,AL,46220,"Tuscaloosa, AL",15-0000,Computer and Mathematical Occupations,720.0,5.8,8.13,60540.0,3.6,57630.0,2010,2179.44,2731.4921520000003,0.47154,41.76,4271.7024,5353.72461792,0.9242184,81.8496
4222,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-0000,Computer and Mathematical Occupations,6510.0,3.3,33.84,63210.0,2.1,60230.0,2010,1327.41,1663.642953,1.1167200000000002,214.83,2601.7236000000003,3260.74018788,2.1887712,421.0668
4660,AR,22900,"Fort Smith, AR-OK",15-0000,Computer and Mathematical Occupations,1060.0,12.6,9.224,52590.0,2.4,48320.0,2010,1262.16,1581.865128,1.162224,133.56,2473.8336,3100.4556508799997,2.27795904,261.7776
5000,AR,26300,"Hot Springs, AR",15-0000,Computer and Mathematical Occupations,340.0,29.4,9.614,54020.0,9.7,45660.0,2010,5239.94,6567.216801999999,2.8265160000000003,99.96,10270.282399999998,12871.744931919999,5.53997136,195.92159999999998
5202,AR,27860,"Jonesboro, AR",15-0000,Computer and Mathematical Occupations,380.0,5.5,8.198,60960.0,22.4,42590.0,2010,13655.04,17113.861632,0.45089,20.9,26763.8784,33543.16879872,0.8837444,40.964
5468,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-0000,Computer and Mathematical Occupations,8920.0,6.5,27.2,57670.0,2.8,54720.0,2010,1614.76,2023.778708,1.7679999999999998,579.8,3164.9296,3966.60626768,3.4652799999999995,1136.408
5970,AR,38220,"Pine Bluff, AR",15-0000,Computer and Mathematical Occupations,250.0,7.1,7.32,55170.0,6.0,47190.0,2010,3310.2,4148.67366,0.51972,17.75,6487.991999999999,8131.4003736,1.0186511999999999,34.79
6167,AZ,22380,"Flagstaff, AZ",15-0000,Computer and Mathematical Occupations,840.0,17.3,15.166,64150.0,4.6,58340.0,2010,2950.9,3698.36297,2.623718,145.32,5783.764,7248.7914212000005,5.14248728,284.8272
6424,AZ,29420,"Lake Havasu City-Kingman, AZ",15-0000,Computer and Mathematical Occupations,300.0,13.7,6.858,59880.0,5.4,49740.0,2010,3233.52,4052.570616,0.9395459999999999,41.1,6337.6992,7943.03840736,1.8415101599999997,80.556
6691,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-0000,Computer and Mathematical Occupations,45250.0,2.9,26.879,74810.0,2.9,69220.0,2010,2169.49,2719.0218170000003,0.779491,1312.25,4252.2004,5329.282761320001,1.5278023600000001,2572.0099999999998
7350,AZ,39140,"Prescott, AZ",15-0000,Computer and Mathematical Occupations,440.0,15.1,8.144,50390.0,4.2,46450.0,2010,2116.38,2652.459054,1.229744,66.44,4148.1048,5198.81974584,2.41029824,130.2224
7623,AZ,46060,"Tucson, AZ",15-0000,Computer and Mathematical Occupations,10640.0,4.7,30.679,77190.0,5.2,72130.0,2010,4013.88,5030.5958040000005,1.4419130000000002,500.08,7867.2048,9859.967775840001,2.82614948,980.1568
