,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,JOBS_1000_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,JOBS_1000_ME,TOT_EMP_ME
56,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,3570.0,9.2,20.606,85900.0,3.0,79270.0,2017,2577.0,3229.7541,1.8957519999999999,328.44,5050.92,6330.318036,3.7156739199999995,643.7424
493,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,570.0,6.3,15.544,77980.0,3.3,75810.0,2017,2573.34,3225.167022,0.979272,35.91,5043.7464,6321.32736312,1.91937312,70.38359999999999
708,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-0000,Computer and Mathematical Occupations,350.0,17.8,8.056,56150.0,8.5,54090.0,2017,4772.75,5981.687575000001,1.433968,62.3,9354.59,11724.107647,2.81057728,122.10799999999999
929,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and Mathematical Occupations,790.0,5.0,13.972,65500.0,3.8,62090.0,2017,2489.0,3119.4637,0.6986,39.5,4878.44,6114.148851999999,1.369256,77.42
1182,AL,13820,"Birmingham-Hoover, AL",15-0000,Computer and Mathematical Occupations,12130.0,4.2,24.063,80080.0,1.3,78060.0,2017,1041.04,1304.7354320000002,1.010646,509.46,2040.4384,2557.28144672,1.98086616,998.5415999999999
1702,AL,19300,"Daphne-Fairhope-Foley, AL",15-0000,Computer and Mathematical Occupations,310.0,9.9,4.287,60350.0,5.5,52820.0,2017,3319.25,4160.016025000001,0.424413,30.69,6505.73,8153.631409000001,0.8318494799999999,60.1524
1966,AL,19460,"Decatur, AL",15-0000,Computer and Mathematical Occupations,440.0,9.2,8.446,68810.0,4.2,61990.0,2017,2890.02,3622.0620660000004,0.777032,40.48,5664.4392,7099.24164936,1.52298272,79.34079999999999
2201,AL,20020,"Dothan, AL",15-0000,Computer and Mathematical Occupations,330.0,6.9,5.766,58040.0,3.0,56850.0,2017,1741.2,2182.24596,0.39785400000000004,22.77,3412.752,4277.2020816,0.7797938400000001,44.6292
2434,AL,22520,"Florence-Muscle Shoals, AL",15-0000,Computer and Mathematical Occupations,220.0,7.5,4.032,56810.0,2.5,55230.0,2017,1420.25,1779.9993250000002,0.3024,16.5,2783.69,3488.798677,0.592704,32.339999999999996
2666,AL,23460,"Gadsden, AL",15-0000,Computer and Mathematical Occupations,70.0,11.7,2.012,63260.0,5.2,63430.0,2017,3289.52,4122.755416000001,0.23540399999999997,8.19,6447.4592,8080.600615360002,0.46139183999999994,16.0524
2865,AL,26620,"Huntsville, AL",15-0000,Computer and Mathematical Occupations,14290.0,4.4,64.339,96180.0,1.5,93030.0,2017,1442.7,1808.1359100000002,2.830916,628.7600000000001,2827.692,3543.9463836000004,5.54859536,1232.3696000000002
3285,AL,33660,"Mobile, AL",15-0000,Computer and Mathematical Occupations,3010.0,9.0,17.438,62010.0,1.9,58340.0,2017,1178.19,1476.625527,1.5694199999999998,270.9,2309.2524,2894.18603292,3.0760631999999997,530.9639999999999
3700,AL,33860,"Montgomery, AL",15-0000,Computer and Mathematical Occupations,3980.0,6.5,24.174,77850.0,2.1,78060.0,2017,1634.85,2048.9575050000003,1.57131,258.7,3204.3059999999996,4015.9567098000007,3.0797676,507.05199999999996
4092,AL,46220,"Tuscaloosa, AL",15-0000,Computer and Mathematical Occupations,1100.0,7.6,11.028,66600.0,2.9,62180.0,2017,1931.4,2420.6236200000003,0.838128,83.6,3785.5440000000003,4744.422295200001,1.64273088,163.856
4448,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-0000,Computer and Mathematical Occupations,8760.0,5.9,36.526,73710.0,3.4,70400.0,2017,2506.14,3140.945262,2.155034,516.84,4912.0344,6156.25271352,4.22386664,1013.0064000000001
4885,AR,22900,"Fort Smith, AR-OK",15-0000,Computer and Mathematical Occupations,1260.0,20.4,11.721,64910.0,2.7,60860.0,2017,1752.57,2196.495981,2.3910839999999998,257.04,3435.0371999999998,4305.13212276,4.686524639999999,503.7984
5212,AR,26300,"Hot Springs, AR",15-0000,Computer and Mathematical Occupations,180.0,11.5,4.985,53140.0,7.8,43460.0,2017,4144.92,5194.828236,0.573275,20.7,8124.0432,10181.86334256,1.123619,40.571999999999996
5413,AR,27860,"Jonesboro, AR",15-0000,Computer and Mathematical Occupations,520.0,5.9,9.382,51820.0,2.6,47170.0,2017,1347.32,1688.5961560000003,0.553538,30.68,2640.7472,3309.6484657600004,1.08493448,60.132799999999996
5697,AR,30780,"Little Rock-North Little Rock-Conway, AR",15-0000,Computer and Mathematical Occupations,10300.0,16.0,29.64,69310.0,2.6,67300.0,2017,1802.06,2258.521798,4.7424,1648.0,3532.0375999999997,4426.702724080001,9.295104,3230.08
6188,AR,38220,"Pine Bluff, AR",15-0000,Computer and Mathematical Occupations,270.0,3.0,8.639,58830.0,7.0,53170.0,2017,4118.1,5161.214730000001,0.25916999999999996,8.1,8071.476000000001,10115.980870800002,0.5079731999999999,15.876
6364,AZ,22380,"Flagstaff, AZ",15-0000,Computer and Mathematical Occupations,890.0,9.0,14.607,69460.0,3.2,63810.0,2017,2222.72,2785.734976,1.31463,80.1,4356.531199999999,5460.04055296,2.5766747999999997,156.99599999999998
6629,AZ,29420,"Lake Havasu City-Kingman, AZ",15-0000,Computer and Mathematical Occupations,350.0,11.6,7.447,60870.0,4.8,53130.0,2017,2921.76,3661.841808,0.863852,40.6,5726.649600000001,7177.20994368,1.69314992,79.57600000000001
6908,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ",15-0000,Computer and Mathematical Occupations,76010.0,3.3,38.387,83900.0,1.3,80750.0,2017,1090.7,1366.97431,1.2667709999999999,2508.33,2137.772,2679.2696476,2.4828711599999997,4916.3268
7564,AZ,39140,"Prescott, AZ",15-0000,Computer and Mathematical Occupations,530.0,7.5,8.653,63380.0,3.9,57820.0,2017,2471.82,3097.9320060000005,0.6489750000000001,39.75,4844.7672,6071.946731760001,1.271991,77.91
