,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,JOBS_1000_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,JOBS_1000_ME,TOT_EMP_ME
57,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,3350.0,4.6,18.886,85410.0,3.7,77580.0,2015,3160.17,3960.6410610000003,0.8687559999999999,154.1,6193.9332,7762.8564795600005,1.7027617599999998,302.036
494,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,640.0,4.7,16.879,81250.0,2.4,79950.0,2015,1950.0,2443.9350000000004,0.7933130000000002,30.08,3822.0,4790.1126,1.5548934800000003,58.956799999999994
712,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-0000,Computer and Mathematical Occupations,280.0,7.9,6.654,58270.0,6.6,58520.0,2015,3845.82,4819.966206,0.525666,22.12,7537.8072,9447.133763759999,1.0303053599999998,43.3552
930,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and Mathematical Occupations,850.0,6.6,16.071,65100.0,3.5,62420.0,2015,2278.5,2855.6440500000003,1.060686,56.1,4465.86,5597.062338000001,2.07894456,109.956
1188,AL,13820,"Birmingham-Hoover, AL",15-0000,Computer and Mathematical Occupations,12930.0,7.0,25.901,75310.0,1.3,74080.0,2015,979.03,1227.018299,1.81307,905.1,1918.8988,2404.9558660400003,3.5536171999999997,1773.996
1734,AL,19300,"Daphne-Fairhope-Foley, AL",15-0000,Computer and Mathematical Occupations,450.0,13.9,6.813,64820.0,6.6,65060.0,2015,4278.12,5361.767796,0.9470069999999999,62.55,8385.1152,10509.06488016,1.8561337199999999,122.598
1977,AL,19460,"Decatur, AL",15-0000,Computer and Mathematical Occupations,340.0,17.6,6.457,69580.0,3.8,62860.0,2015,2644.04,3313.775332,1.136432,59.84000000000001,5182.3184,6494.99965072,2.2274067200000003,117.28640000000001
2225,AL,20020,"Dothan, AL",15-0000,Computer and Mathematical Occupations,360.0,17.2,6.465,59520.0,2.6,58550.0,2015,1547.52,1939.506816,1.11198,61.92,3033.1392,3801.43335936,2.1794808,121.3632
2476,AL,22520,"Florence-Muscle Shoals, AL",15-0000,Computer and Mathematical Occupations,190.0,8.9,3.768,57910.0,5.7,53930.0,2015,3300.87,4136.980371000001,0.335352,16.91,6469.705199999999,8108.481527160001,0.65728992,33.1436
2690,AL,23460,"Gadsden, AL",15-0000,Computer and Mathematical Occupations,90.0,16.9,2.592,54300.0,6.8,52760.0,2015,3692.4,4627.684920000001,0.438048,15.209999999999997,7237.104,9070.262443200001,0.85857408,29.811599999999995
2910,AL,26620,"Huntsville, AL",15-0000,Computer and Mathematical Occupations,12670.0,6.8,59.413,92480.0,1.5,88750.0,2015,1387.2,1738.5777600000001,4.040084,861.56,2718.9120000000003,3407.6124096000003,7.9185646400000005,1688.6575999999998
3340,AL,33660,"Mobile, AL",15-0000,Computer and Mathematical Occupations,2360.0,8.3,13.863,60070.0,2.2,56630.0,2015,1321.54,1656.286082,1.150629,195.88,2590.2183999999997,3246.3207207200003,2.2552328399999997,383.9248
3770,AL,33860,"Montgomery, AL",15-0000,Computer and Mathematical Occupations,3920.0,3.3,24.199,72330.0,1.9,72780.0,2015,1374.27,1722.3725910000003,0.798567,129.36,2693.5692,3375.8502783600006,1.56519132,253.54560000000004
