,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,JOBS_1000_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,JOBS_1000_ME,TOT_EMP_ME
57,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,3190.0,6.1,18.114,75710.0,2.6,72540.0,2014,1968.46,2467.0709180000003,1.104954,194.59,3858.1816,4835.45899928,2.16570984,381.39639999999997
486,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,580.0,2.3,16.194,77100.0,2.0,74830.0,2014,1542.0,1932.5886,0.37246199999999996,13.34,3022.32,3787.873656,0.7300255199999999,26.1464
696,AL,11500,"Anniston-Oxford, AL",15-0000,Computer and Mathematical Occupations,330.0,11.0,7.6,60900.0,12.1,56700.0,2014,7368.9,9235.44237,0.836,36.3,14443.044,18101.467045200003,1.6385599999999998,71.148
911,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and Mathematical Occupations,740.0,7.2,14.209,63540.0,3.2,61970.0,2014,2033.28,2548.309824,1.023048,53.28,3985.2288,4994.687255039999,2.0051740799999997,104.4288
1168,AL,13820,"Birmingham-Hoover, AL",15-0000,Computer and Mathematical Occupations,12910.0,5.7,26.093,73010.0,1.4,71100.0,2014,1022.14,1281.048062,1.487301,735.87,2003.3944,2510.85420152,2.91510996,1442.3052
1715,AL,19460,"Decatur, AL",15-0000,Computer and Mathematical Occupations,370.0,18.1,7.063,67390.0,4.0,60210.0,2014,2695.6,3378.39548,1.278403,66.97000000000001,5283.375999999999,6621.6551408000005,2.5056698799999997,131.26120000000003
1968,AL,20020,"Dothan, AL",15-0000,Computer and Mathematical Occupations,360.0,16.1,6.71,60340.0,2.3,58820.0,2014,1387.82,1739.354806,1.08031,57.96000000000001,2720.1272,3409.13541976,2.1174076,113.60160000000002
2219,AL,22520,"Florence-Muscle Shoals, AL",15-0000,Computer and Mathematical Occupations,240.0,7.8,4.576,61580.0,5.9,54310.0,2014,3633.22,4553.514626,0.35692799999999997,18.72,7121.111199999999,8924.88866696,0.6995788799999999,36.691199999999995
2457,AL,23460,"Gadsden, AL",15-0000,Computer and Mathematical Occupations,80.0,16.6,2.291,52950.0,6.2,52960.0,2014,3282.9,4114.45857,0.380306,13.28,6434.484,8064.338797199999,0.74539976,26.028799999999997
2671,AL,26620,"Huntsville, AL",15-0000,Computer and Mathematical Occupations,13650.0,9.9,65.453,89050.0,1.4,86940.0,2014,1246.6999999999998,1562.48911,6.479847000000001,1351.35,2443.5319999999997,3062.4786556,12.700500120000003,2648.6459999999997
3109,AL,33660,"Mobile, AL",15-0000,Computer and Mathematical Occupations,2510.0,9.7,14.864,60570.0,3.0,56720.0,2014,1817.1,2277.37143,1.441808,243.47,3561.5159999999996,4463.6480028000005,2.82594368,477.2012
3544,AL,33860,"Montgomery, AL",15-0000,Computer and Mathematical Occupations,4060.0,2.9,25.415,70550.0,2.6,69340.0,2014,1834.3,2298.92819,0.7370349999999999,117.74,3595.228,4505.8992524000005,1.4445885999999997,230.7704
3959,AL,46220,"Tuscaloosa, AL",15-0000,Computer and Mathematical Occupations,990.0,15.6,10.642,70220.0,4.0,66530.0,2014,2808.8,3520.2690400000006,1.6601519999999999,154.44,5505.2480000000005,6899.727318400001,3.2538979199999996,302.7024
4306,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO",15-0000,Computer and Mathematical Occupations,7050.0,2.4,32.839,72450.0,2.8,71130.0,2014,2028.6,2542.4443800000004,0.788136,169.2,3976.0559999999996,4983.1909848000005,1.5447465599999999,331.63199999999995
4753,AR,22900,"Fort Smith, AR-OK",15-0000,Computer and Mathematical Occupations,1070.0,20.1,9.478,59070.0,2.0,55400.0,2014,1181.4,1480.6486200000002,1.905078,215.07,2315.5440000000003,2902.0712952000003,3.73395288,421.5372
5124,AR,26300,"Hot Springs, AR",15-0000,Computer and Mathematical Occupations,280.0,22.9,7.937,47660.0,3.4,38850.0,2014,1620.44,2030.8974520000002,1.8175729999999999,64.12,3176.0624000000003,3980.5590059200003,3.5624430799999995,125.6752
5334,AR,27860,"Jonesboro, AR",15-0000,Computer and Mathematical Occupations,400.0,14.2,7.858,63370.0,17.2,48140.0,2014,10899.64,13660.518812000002,1.1158359999999998,56.8,21363.2944,26774.616871520004,2.1870385599999995,111.32799999999999
