,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,JOBS_1000_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,JOBS_1000_ME,TOT_EMP_ME
53,AK,11260,"Anchorage, AK",15-0000,Computer and mathematical science occupations,3110,4.4,18.801,66970,2.2,65650,2009,1473.34,1846.537022,0.827244,136.84000000000003,2887.7464,3619.2125631199997,1.62139824,268.20640000000003
442,AK,21820,"Fairbanks, AK",15-0000,Computer and mathematical science occupations,480,3.7,13.588,67700,3.9,66300,2009,2640.3,3309.08799,0.502756,17.76,5174.988,6485.8124603999995,0.9854017599999999,34.8096
640,AL,11500,"Anniston-Oxford, AL",15-0000,Computer and mathematical science occupations,450,29.6,9.755,69480,4.1,72590,2009,2848.68,3570.250644,2.8874800000000005,133.2,5583.412799999999,6997.6912622400005,5.659460800000001,261.07199999999995
879,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and mathematical science occupations,550,6.7,11.513,57700,4.3,58160,2009,2481.1,3109.5626300000004,0.771371,36.85,4862.956,6094.7427548000005,1.5118871600000001,72.226
1135,AL,13820,"Birmingham-Hoover, AL",15-0000,Computer and mathematical science occupations,10140,6.7,20.500999999999998,66600,2.1,63620,2009,1398.6,1752.86538,1.373567,679.38,2741.256,3435.6161448,2.69219132,1331.5847999999999
1671,AL,19460,"Decatur, AL",15-0000,Computer and mathematical science occupations,260,7.7,4.979,57650,4.6,55540,2009,2651.9,3323.62627,0.38338300000000003,20.02,5197.724,6514.3074892,0.75143068,39.2392
1916,AL,20020,"Dothan, AL",15-0000,Computer and mathematical science occupations,310,5.7,5.292000000000001,51740,2.1,49460,2009,1086.54,1361.7605819999999,0.301644,17.67,2129.6184,2669.05074072,0.59122224,34.6332
2172,AL,22520,"Florence-Muscle Shoals, AL",15-0000,Computer and mathematical science occupations,280,9.9,5.596,48570,2.1,46110,2009,1019.97,1278.328401,0.554004,27.72,1999.1412,2505.52366596,1.08584784,54.331199999999995
2408,AL,23460,"Gadsden, AL",15-0000,Computer and mathematical science occupations,80,14.9,2.386,53040,4.2,54300,2009,2227.68,2791.9513440000005,0.355514,11.92,4366.252799999999,5472.224634240001,0.69680744,23.3632
2628,AL,26620,"Huntsville, AL",15-0000,Computer and mathematical science occupations,12580,8.2,61.21,77960,1.4,77730,2009,1091.44,1367.901752,5.01922,1031.56,2139.2224,2681.08743392,9.837671199999999,2021.8575999999998
3066,AL,33660,"Mobile, AL",15-0000,Computer and mathematical science occupations,2400,18.4,13.853,60530,3.2,53840,2009,1936.96,2427.591968,2.548952,441.6,3796.4416,4758.08025728,4.99594592,865.5360000000001
3499,AL,33860,"Montgomery, AL",15-0000,Computer and mathematical science occupations,4080,3.9,25.039,66380,2.3,66340,2009,1526.74,1913.463242,0.9765210000000001,159.12,2992.4103999999998,3750.38795432,1.91398116,311.8752
