Occupation,OCC_CODE,OCC_GROUP,A_MEDIAN
Computer User Support Specialists,15-1151,detailed,46370.0
Computer Network Support Specialists,15-1152,detailed,65310.0
"Computer Occupations, All Other",15-1199,detailed,82360.0
Actuaries,15-2011,detailed,96980.0
Operations Research Analysts,15-2031,detailed,60500.0
Statisticians,15-2041,detailed,56500.0
"Software Developers, Applications",15-1132,detailed,78100.0
"Software Developers, Systems Software",15-1133,detailed,75240.0
Computer User Support Specialists,15-1151,detailed,38640.0
Operations Research Analysts,15-2031,detailed,84240.0
Computer Systems Analysts,15-1121,detailed,66530.0
Information Security Analysts,15-1122,detailed,71850.0
Computer Programmers,15-1131,detailed,61890.0
"Software Developers, Applications",15-1132,detailed,72080.0
"Software Developers, Systems Software",15-1133,detailed,66960.0
Web Developers,15-1134,detailed,56090.0
Database Administrators,15-1141,detailed,61350.0
Network and Computer Systems Administrators,15-1142,detailed,65700.0
Computer User Support Specialists,15-1151,detailed,44640.0
Computer Network Support Specialists,15-1152,detailed,42960.0
"Computer Occupations, All Other",15-1199,detailed,59650.0
"Software Developers, Applications",15-1132,detailed,77850.0
Network and Computer Systems Administrators,15-1142,detailed,63010.0
Computer Network Architects,15-1143,detailed,64160.0
Computer User Support Specialists,15-1151,detailed,39470.0
Computer Systems Analysts,15-1121,detailed,74300.0
Computer Programmers,15-1131,detailed,63390.0
"Software Developers, Applications",15-1132,detailed,70020.0
Network and Computer Systems Administrators,15-1142,detailed,66810.0
Computer Network Architects,15-1143,detailed,71060.0
Computer User Support Specialists,15-1151,detailed,47620.0
Computer Network Support Specialists,15-1152,detailed,53300.0
Computer Systems Analysts,15-1121,detailed,62230.0
Computer Programmers,15-1131,detailed,60040.0
"Software Developers, Applications",15-1132,detailed,71690.0
"Software Developers, Systems Software",15-1133,detailed,82060.0
Web Developers,15-1134,detailed,40930.0
Database Administrators,15-1141,detailed,66090.0
Network and Computer Systems Administrators,15-1142,detailed,65630.0
Computer Network Architects,15-1143,detailed,80810.0
Computer User Support Specialists,15-1151,detailed,38800.0
Computer Network Support Specialists,15-1152,detailed,46480.0
"Computer Occupations, All Other",15-1199,detailed,63520.0
Computer Systems Analysts,15-1121,detailed,82860.0
