,NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,TOT_EMP_ME
80,115000,Support Activities for Agriculture and Forestry,15-0000,Computer and mathematical science occupations,230,10.9,60640,2.9,58550,2008,1758.56,2204.003248,25.07,3446.7776,4319.84636608,49.1372
226,211000,Oil and Gas Extraction,15-0000,Computer and mathematical science occupations,5530,16.9,74180,3.6,71620,2008,2670.48,3346.9125840000006,934.5699999999998,5234.1408,6559.948664640001,1831.7571999999996
384,212000,Mining (except Oil and Gas),15-0000,Computer and mathematical science occupations,440,8.8,64430,2.0,62110,2008,1288.6,1615.0023800000001,38.720000000000006,2525.656,3165.4046648000003,75.89120000000001
754,221000,Utilities,15-0000,Computer and mathematical science occupations,17850,5.6,75920,0.9,75820,2008,683.28,856.3548240000001,999.6,1339.2287999999999,1678.4554550400003,1959.2160000000001
1244,237000,Heavy and Civil Engineering Construction,15-0000,Computer and mathematical science occupations,1660,4.8,67780,2.6,61780,2008,1762.28,2208.665524,79.68,3454.0688,4328.98442704,156.17280000000002
2072,312000,Beverage and Tobacco Product Manufacturing,15-0000,Computer and mathematical science occupations,1050,6.8,74610,3.2,74980,2008,2387.52,2992.278816,71.4,4679.5392,5864.86647936,139.94400000000002
2224,313000,Textile Mills,15-0000,Computer and mathematical science occupations,630,5.6,59530,1.8,57170,2008,1071.54,1342.9610820000003,35.28,2100.2183999999997,2632.2037207200005,69.1488
2345,314000,Textile Product Mills,15-0000,Computer and mathematical science occupations,470,6.9,52800,1.8,50380,2008,950.4,1191.13632,32.43,1862.7839999999999,2334.6271872,63.562799999999996
2475,315000,Apparel Manufacturing,15-0000,Computer and mathematical science occupations,1100,9.5,64340,2.7,61840,2008,1737.18,2177.207694,104.5,3404.8728,4267.32708024,204.82
2581,316000,Leather and Allied Product Manufacturing,15-0000,Computer and mathematical science occupations,190,9.3,57300,3.4,54360,2008,1948.2,2441.6790600000004,17.67,3818.472,4785.690957600001,34.6332
2679,321000,Wood Product Manufacturing,15-0000,Computer and mathematical science occupations,810,19.2,57100,1.9,54250,2008,1084.9,1359.7051700000002,155.52,2126.404,2665.0221332,304.8192
2863,322000,Paper Manufacturing,15-0000,Computer and mathematical science occupations,2490,3.3,63450,1.1,61490,2008,697.95,874.740735,82.17,1367.982,1714.4918406,161.0532
3047,323000,Printing and Related Support Activities,15-0000,Computer and mathematical science occupations,6910,4.4,61640,1.1,58840,2008,678.04,849.787532,304.04,1328.9584,1665.5835627200001,595.9184
3216,324000,Petroleum and Coal Products Manufacturing,15-0000,Computer and mathematical science occupations,2020,18.0,86380,4.2,83420,2008,3627.96,4546.922268,363.6,7110.8016,8911.96764528,712.6560000000001
3387,325000,Chemical Manufacturing,15-0000,Computer and mathematical science occupations,19970,7.6,76140,1.8,74730,2008,1370.52,1717.672716,1517.72,2686.2192,3366.63852336,2974.7312
3675,326000,Plastics and Rubber Products Manufacturing,15-0000,Computer and mathematical science occupations,4410,6.5,67090,2.4,62960,2008,1610.16,2018.0135280000002,286.65,3155.9136000000003,3955.30651488,561.834
3892,327000,Nonmetallic Mineral Product Manufacturing,15-0000,Computer and mathematical science occupations,1280,7.4,65600,1.8,62580,2008,1180.8,1479.8966400000002,94.72,2314.368,2900.5974144,185.6512
4120,331000,Primary Metal Manufacturing,15-0000,Computer and mathematical science occupations,2500,3.6,63170,1.2,61280,2008,758.04,950.051532,90.0,1485.7584,1862.1010027199998,176.4
4350,332000,Fabricated Metal Product Manufacturing,15-0000,Computer and mathematical science occupations,11030,4.1,64200,1.6,61440,2008,1027.2,1287.38976,452.2299999999999,2013.3120000000001,2523.2839296,886.3707999999998
4622,333000,Machinery Manufacturing,15-0000,Computer and mathematical science occupations,19930,4.0,69300,1.2,67050,2008,831.6,1042.24428,797.2,1629.936,2042.7987887999998,1562.5120000000002
4878,334000,Computer and Electronic Product Manufacturing,15-0000,Computer and mathematical science occupations,135430,2.9,89710,0.9,88130,2008,807.39,1011.9018870000001,3927.47,1582.4844,1983.3276985200002,7697.8412
5140,335000,"Electrical Equipment, Appliance, and Component Manufacturing",15-0000,Computer and mathematical science occupations,6410,4.2,72310,1.8,70640,2008,1301.58,1631.270214,269.22,2551.0968,3197.2896194399996,527.6712
5357,336000,Transportation Equipment Manufacturing,15-0000,Computer and mathematical science occupations,39660,3.3,85940,2.4,84250,2008,2062.56,2585.006448,1308.78,4042.6176,5066.61263808,2565.2088
5665,337000,Furniture and Related Product Manufacturing,15-0000,Computer and mathematical science occupations,2350,4.8,56890,1.9,54480,2008,1080.91,1354.704503,112.8,2118.5836,2655.2208258799997,221.088
5879,339000,Miscellaneous Manufacturing,15-0000,Computer and mathematical science occupations,9500,4.7,67840,1.0,65080,2008,678.4,850.2387200000001,446.5,1329.664,1666.4678912000002,875.14
