,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,JOBS_1000_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,JOBS_1000_ME,TOT_EMP_ME
49,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,3390.0,4.6,20.178,70980.0,1.7,69600.0,2011,1206.66,1512.3069780000003,0.928188,155.93999999999997,2365.0536,2964.1216768800005,1.81924848,305.64239999999995
449,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,560.0,6.4,15.942,68550.0,2.2,68860.0,2011,1508.1,1890.10173,1.020288,35.84,2955.8759999999997,3704.5993908,1.99976448,70.24640000000001
655,AL,11500,"Anniston-Oxford, AL",15-0000,Computer and Mathematical Occupations,520.0,17.8,11.371,63580.0,5.0,59320.0,2011,3179.0,3984.2407000000003,2.024038,92.56,6230.84,7809.111772,3.9671144799999998,181.4176
882,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and Mathematical Occupations,580.0,5.0,12.425,55590.0,5.9,56930.0,2011,3279.81,4110.585873,0.62125,29.0,6428.4276,8056.748311079999,1.21765,56.839999999999996
1141,AL,13820,"Birmingham-Hoover, AL",15-0000,Computer and Mathematical Occupations,10310.0,3.4,21.673,70160.0,1.9,67530.0,2011,1333.04,1670.699032,0.7368819999999999,350.54,2612.7583999999997,3274.57010272,1.4442887199999999,687.0584
1677,AL,19460,"Decatur, AL",15-0000,Computer and Mathematical Occupations,350.0,9.5,6.683,67440.0,4.1,65620.0,2011,2765.04,3465.424632,0.634885,33.25,5419.4784,6792.23227872,1.2443746,65.17
1932,AL,20020,"Dothan, AL",15-0000,Computer and Mathematical Occupations,330.0,9.1,5.831,54210.0,2.9,51620.0,2011,1572.09,1970.3003970000002,0.530621,30.03,3081.2963999999997,3861.78877812,1.04001716,58.8588
2188,AL,22520,"Florence-Muscle Shoals, AL",15-0000,Computer and Mathematical Occupations,290.0,17.5,5.586,58250.0,3.2,55140.0,2011,1864.0,2336.1512000000002,0.9775500000000001,50.75,3653.44,4578.856352000001,1.9159980000000003,99.47
2419,AL,23460,"Gadsden, AL",15-0000,Computer and Mathematical Occupations,100.0,30.6,2.954,47780.0,5.0,47540.0,2011,2389.0,2994.1337,0.9039240000000001,30.6,4682.44,5868.502052,1.77169104,59.976
2637,AL,26620,"Huntsville, AL",15-0000,Computer and Mathematical Occupations,13870.0,5.5,68.883,80430.0,1.4,79360.0,2011,1126.02,1411.240866,3.7885649999999997,762.85,2206.9991999999997,2766.03209736,7.4255873999999995,1495.186
3047,AL,33660,"Mobile, AL",15-0000,Computer and Mathematical Occupations,2750.0,6.4,16.181,51850.0,3.5,47400.0,2011,1814.75,2274.426175,1.035584,176.0,3556.91,4457.875303,2.02974464,344.96
